Car Year,Brand,Model,Scale,Color,Maker,Year,Code,Price,Notes,Total Models:,Stats,,,,,,,,,
2019,Lamborghini,Huracan LP 620-2 Super Trofeo EVO,1:32,Gray,CHIMEIMODEL,2022,HurSTEVO-1,$9.0,,,,,,,,,,,,
2022,Lamborghini,Huracan LP 620-2 Super Trofeo EVO2,1:43,Green,Bburago,2023,HurSTEVO2-1,$20.0,,,,,,,,,,,,
2015,Lamborghini,Huracan GT3,1:43,Green,Carrera,2024,HurGT3-1,$9.0,,,,,,,,,,,,
2019,Lamborghini,Huracan GT3 EVO,1:64,Green,MiniGT,2024,HurGT3EVO-1,$15.0,,,,,,,,,,,,
2022,Lamborghini,Huracan GT3 EVO2,1:64,Green,MiniGT,2024,HurGT3EVO2-1,$15.0,,,,,,,,,,,,
2017,Lamborghini,Huracan LP640-4 Performante,1:24,Orange,Bburago,2022,HurPerf-1,$24.0,,,,,,,,,,,,
2017,Lamborghini,Huracan LP640-4 Performante,1:43,Green,Bburago,2022,HurPerf-2,$7.5,,,,,,,,,,,,
2017,Lamborghini,Huracan LP640-4 Performante,1:64,White,Maisto,2025,HurPerf-3,$15.0,BullBar,,,,,,,,,,,
2018,Lamborghini,Huracan LP640-4 Performante Spyder,1:64,Green,Maisto,2025,HurPerfSpy-1,$12.0,,,,,,,,,,,,
2019,Lamborghini,Huracan EVO,1:43,Red,Airfix/LAMBOMODELS,2024,HurEVO1,$18.0,,,,,,,,,,,,
2019,Lamborghini,Huracan EVO Spyder,1:50,Green,LAMBOMODELS,2025,HurEVOSpy-1,$2.5,First model of 2025,,,,,,,,,,,
2020,Lamborghini,Huracan EVO Airport,1:64,Green,MiniGT,2024,HurEVOAir-1,$15.0,,,,,,,,,,,,
2020,Lamborghini ,Huracan EVO RWD,1:43,Yellow,Airfix/LAMBOMODELS,2024,HurEVORWD-1,$18.0,,,,,,,,,,,,
2020,Lamborghini ,Huracan EVO RWD Spyder,1:43,Blue,Looksmart,2024,HurEVORWDSpy-1,$85.0,,,,,,,,,,,,
2021,Lamborghini,Huracan STO,1:22,Blue,Jinlifang,2023,HurSTO-1,$18.0,,,,,,,,,,,,
2024,Lamborghini,Huracan STJ,1:64,Gray,CCA/LAMBOMODELS,2024/2026,HurSTJ-1,$3.0,STO to STJ,,,,,,,,,,,
2021,Lamborghini,Huracan STO,1:40,Green,MSZ,2025,HurSTO-2,$18.0,,,,,,,,,,,,
2022,Lamborghini ,Huracan Tecnica,1:43,Green,Looksmart,2024,HurTec-1,$80.0,,,,,,,,,,,,
2022,Lamborghini ,Huracan Sterrato,1:64,Orange,Hot Wheels,2024,HurSterConc-1,$6.0,,,,,,,,,,,,
2022,Lamborghini ,Huracan Sterrato,1:64,Yellow,Hot Wheels,2026,HurSter-2,$5.0,,,,,,,,,,,,
2022,Lamborghini ,Huracan Sterrato,1:64,White,MiniGT,2025,HurSter-1,$16.0,,,,,,,,,,,,
2023,Lamborghini ,Invencible,1:22,Red,Unbranded,2025,Invec-1,$16.0,,,,,,,,,,,,
1968,Lamborghini,Islero,1:43,Yellow,Minichamps,2023,Isl-1,$30.0,,,,,,,,,,,,
1975,Lamborghini ,Islero 'LeMans 24 Hours',1:43,Red,Ixo,2025,IslLM-1,$30.0,,,,,,,,,,,,
1969,Lamborghini,Islero S,1:43,Silver,Polistil/LAMBOMODELS,2024/25,IslS-1,$30.0,,,,,,,,,,,,
1981,Lamborghini,Jalpa P3500,1:43,Black,Greenlight,2023,Jal-1,$25.0,,,,,,,,,,,,
1987,Lamborghini,Jalpa Spyder Prototipo,1:43,Blue,Leo Models,2020,JalSpy-1,$15.0,,,,,,,,,,,,
1970,Lamborghini,Jarama 400GT,1:43,Silver,Polistil,2024,Jar-1,$25.0,,,,,,,,,,,,
1972,Lamborghini,Jarama 400GTS,1:43,White,Hachette,2023,JarS-1,$15.0,,,,,,,,,,,,
1972,Lamborghini,Jarama Bob,1:43,Orange,Leo Models,2020,JarBob-1,$15.0,,,,,,,,,,,,
1973,Lamborghini,Jarama SVR,1:43,Yellow,Leo Models,2020,JarSVR-1,$15.0,,,,,,,,,,,,
1991,Lamborghini,Konrad WSC KM-011,1:43,Blue,Hachette,2023,Konrad-1,$15.0,,,,,,,,,,,,
2023,Lamborghini,Lanzador,1:43,Blue,Looksmart,2026,Lanzad-01,$155.0,,,,,,,,,,,,
1986,Lamborghini,LM002,1:64,Yellow,Matchbox,2020,LM002-1,-,,,,,,,,,,,,
1967,Lamborghini,Marzal,1:64,Pink,Matchbox,2020,Marzal-1,$8.0,,,,,,,,,,,,
1966,Lamborghini,Miura P400,1:100,Black,Suntory Car Graphic,2022,Miu-1,$5.0,,,,,,,,,,,,
1966,Lamborghini,Miura P400,1:43,Yellow,Del Prado,2022,Miu-2,$15.0,,,,,,,,,,,,
1968,Lamborghini,Miura P400 S,1:43,Green,Mondo Motors,2022,MiuS-1,$6.0,,,,,,,,,,,,
1968,Lamborghini,Miura P400 S,1:43,Green,Mondo Motors,2024,MiuS-2,$6.0,Donor for Islero S,,,,,,,,,,,
1971,Lamborghini,Miura P400 SV,1:34,Orange,Kinsmart,2018,MiuSV-1,$3.0,,,,,,,,,,,,
1971,Lamborghini,Miura P400 SV,1:64,Orange,Hot Wheels,2022,MiuSV-2,$2.0,,,,,,,,,,,,
1971,Lamborghini,Miura P400 SV,1:64,Red,Hot Wheels,2025,MiuSV-3,$2.0,,,,,,,,,,,,
1968,Lamborghini,Miura Roadster,1:43,Blue,Rio Models,2023,MiuRoad-1,$30.0,,,,,,,,,,,,
1981,Lamborghini,Miura SVJ Roadster,1:43,White,Leo Models,2020,MiuSVJRoad-1,$15.0,,,,,,,,,,,,
1971,Lamborghini,Miura SVJ,1:64,Red,Kyosho,2023,MiuSVJ-1,$10.0,,,,,,,,,,,,
1970,Lamborghini,Miura Jota,1:64,Gray,Kyosho,2022,MiuJota-1,$10.0,,,,,,,,,,,,
1970,Lamborghini,Miura Jota,1:64,Green,Unbranded,2023,MiuJota-2,$0.5,,,,,,,,,,,,
1974,Lamborghini,Miura Jota SVR,1:62,Red,Tomica,2023,MiuSVR-1,$12.0,,,,,,,,,,,,
1972,Lamborghini,Miura AMS,1:43,Blue,Yow Modellini,2023/2024,MiuAMS-1,$50.0,Finished in Jun. 2024,,,,,,,,,,,
1972,Lamborghini,Miura Barchetta,1:43,Orange,Yow Modellini,2023/25,MiuBarch-1,$50.0,,,,,,,,,,,,
2006,Lamborghini,Miura Concept,1:43,Yellow,Mondo Motors,2020,MiuConcept-1,$6.0,,,,,,,,,,,,
2001,Lamborghini,Murcielago 6.2,1:32,Yellow,RoadBot,2014,Murcie-1,$30.0,,,,,,,,,,,,
2001,Lamborghini,Murcielago 6.2,1:32,Orange,RoadBot,201X,Murcie-2,$10.0,,,,,,,,,,,,
2001,Lamborghini,Murcielago 6.2,1:32,Green,Welly,201X,Murcie-3,-,,,,,,,,,,,,
2001,Lamborghini,Murcielago 6.2,1:256,White,Editura Puisor (paper),2022,Murcie-4,$0.0,LAMBOMODELS,,,,,,,,,,,
2001,Lamborghini,Murcielago 6.2,1:460,White,Editura Puisor (paper),2022,Murcie-5,$0.0,LAMBOMODELS,,,,,,,,,,,
2001,Lamborghini,Murcielago 6.2,1:1150,White,Editura Puisor (paper),2022,Murcie-6,$0.0,LAMBOMODELS,,,,,,,,,,,
2003,Lamborghini,Murcielago 40th Anniversary,1:64,Turquoise,Hot Wheels,2023,MurcieAnni-1,$7.0,,,,,,,,,,,,
2002,Lamborghini,Murcielago Barchetta Concept,1:43,Orange,AUTOart,2024,MurcieBarchConc-1,$27.0,,,,,,,,,,,,
2004,Lamborghini,Murcielago Roadster,1:64,Yellow,Maisto,2022,MurcieRoad-1,$5.0,,,,,,,,,,,,
2003,Lamborghini,Murcielago R-GT Presentation,1:64,Black,Top Mark/LAMBOMODELS,2025,MurcieRGTPr-1,$3.0,,,,,,,,,,,,
2004,Lamborghini,Murcielago R-GT,1:43,Black,Bburago,201X,MurcieRGT-1,-,,,,,,,,,,,,
2006,Lamborghini,Murcielago LP640,1:36,Black,Kinsmart,2012,Murcie640-1,$3.0,,,,,,,,,,,,
2006,Lamborghini,Murcielago LP640,1:36,Orange,Kinsmart,2013,Murcie640-2,$3.0,,,,,,,,,,,,
2006,Lamborghini,Murcielago LP640,1:36,"Black ""Police""",Kinsmart,201X,Murcie640-3,$3.0,,,,,,,,,,,,
2006,Lamborghini,Murcielago LP640,1:64,Green,Unbranded,2022,Murcie640-4,$0.8,,,,,,,,,,,,
2009,Lamborghini,Murcielago LP650-4 Roadster,1:43,Gray,Edicola,2023,Murcie650Road-1,$20.0,,,,,,,,,,,,
2006,Lamborghini,Murcielago LP640 Roadster,1:55,White,Siku,201X,Murcie640Road-1,-,,,,,,,,,,,,
2006,Lamborghini,Murcielago LP640 Roadster,1:10,Orange,Unbranded,2013,Murcie640Road-2,-,,,,,,,,,,,,
2009,Lamborghini,Murcielago LP670-4 SV,1:32,Yellow,Rastar,2018,MurcieSV-1,-,,,,,,,,,,,,
2009,Lamborghini,Murcielago LP670-4 SV,1:64,Orange,RMZ City,2024,MurcieSV-2,$3.0, Montenegro,,,,,,,,,,,
2009,Lamborghini,Murcielago LP670-4 SV,1:64,Yellow,Unbranded,2021,MurcieSV-3,$1.0,,,,,,,,,,,,
2010,Lamborghini,Murcielago LP670-4 SV China Limited Edition,1:36,Gray,Unbranded,2014,MurcieSVCN-1,-,,,,,,,,,,,,
2010,Lamborghini,Murcielago LP670-4 SV China Limited Edition,1:43,Gray,Rastar,2026,MurcieSVCN-2,$4.0,First Model of 2026,,,,,,,,,,,
1988,Lamborghini,P140,1:43,White,Leo Models,2020,P140-1,$15.0,,,,,,,,,,,,
1987,Lamborghini,Portofino,1:55,Gray,Chiyono,2024,Portofino-1,$11.0,2.5 inch car,,,,,,,,,,,
1987,Lamborghini,Portofino,1:43,Gray,Alezan,2024,Portofino-2,$60.0,,,,,,,,,,,,
1988,Lamborghini,Genesis,1:43,Red,Yow Modellini/LAMBOMODELS,2023,Genesis-1,$50.0,200th MODEL,,,,,,,,,,,
1982,Lamborghini,Marco Polo,1:43,Gray,Yow Modellini/LAMBOMODELS,2023,MarcoPolo-1,$50.0,,,,,,,,,,,,
1996,Lamborghini,Raptor Zagato,1:43,Blue,Ixo,2024,Raptor-1,$30.0,,,,,,,,,,,,
2007,Lamborghini,Reventon,1:24,Gray,Bburago,201X,Reve-1,-,,,,,,,,,,,,
2007,Lamborghini,Reventon,1:64,Gray,Majorette,201X,Reve-2,-,,,,,,,,,,,,
2007,Lamborghini,Reventon,1:43,Yellow,Unbranded,201X,Reve-3,-,,,,,,,,,,,,
2007,Lamborghini,Reventon,1:43,Blue,Unbranded,201X/2020,Reve-4,-,,,,,,,,,,,,
2007,Lamborghini,Reventon,1:40,Black,Unbranded,2025,Reve-5,$5.0,Wireless Mouse,,,,,,,,,,,
2009,Lamborghini,Reventon Roadster,1:43,Black,Unbranded,201X,ReveRoad-1,-,,,,,,,,,,,,
2009,Lamborghini,Reventon Roadster,1:64,Gray,Hot Wheels,2022,ReveRoad-2,$5.0,,,,,,,,,,,,
2023,Lamborghini ,Revuelto,1:24,Orange,Bburago,2024,Revu-1,$25.0,,,,,,,,,,,,
2018,Lamborghini,SC18 Alston,1:32,Black,Double Horses,2022,SC18-1,$16.0,,,,,,,,,,,,
2020,Lamborghini,SC20,1:43,White,Looksmart,2024,SC20-1,$145.0,,,,,,,,,,,,
2023,Lamborghini,SC63,1:43,Green,Bburago,2025,SC63-1,$20.0,,,,,,,,,,,,
2011,Lamborghini,Sesto Elemento,1:38,Black,Kinsmart,2022,Sesto-1,$4.0,,,,,,,,,,,,
2011,Lamborghini,Sesto Elemento,1:38,White,Kinsmart,~2014,Sesto-2,$3.0,,,,,,,,,,,,
2011,Lamborghini,Sesto Elemento,1:38,Yellow,Kinsmart,~2014,Sesto-3,$3.0,,,,,,,,,,,,
2011,Lamborghini,Sesto Elemento,1:38,Blue,Kinsmart,201X,Sesto-4,$3.0,,,,,,,,,,,,
2011,Lamborghini,Sesto Elemento,1:38,"Black ""Police""",Kinsmart,~2014,Sesto-5,$3.0,,,,,,,,,,,,
2019,Lamborghini,Sian FKP37,1:24,Green,Maisto,2022,Sian-1,-,,,,,,,,,,,,
2019,Lamborghini,Sian FKP37,1:64,Orange,Hot Wheels,2023,Sian-2,$2.0,,,,,,,,,,,,
2019,Lamborghini,Sian FKP37,1:64,Green,Hot Wheels,2022,Sian-3,$2.0,,,,,,,,,,,,
2019,Lamborghini,Sian FKP37,1:55,Blue,Unbranded,2026,Sian-4,$1.5,"gift from sister, 2026",,,,,,,,,,,
2020,Lamborghini,Sian Roadster,1:32,Red,Double Horses,2022,SianRoad-1,$15.0,,,,,,,,,,,,
1976,Lamborghini,Silhouette P3000,1:43,White,Hachette,2023,Silho-1,$15.0,,,,,,,,,,,,
2024,Lamborghini ,Temerario,1:40,Blue,MSZ,2025,Tem-1,$5.0,,,,,,,,,,,,
2024,Lamborghini ,Temerario,1:64,Green,Hot Wheels,2026,Tem-2,$15.0,Alleggerita Package,,,,,,,,,,,
2017,Lamborghini,Terzo Millennio,1:24,Gray,Bburago,2021,Terzo-1,-,,,,,,,,,,,,
2017,Lamborghini,Terzo Millennio,1:12,Red,Unbranded,2020,Terzo-2,$20.0,,,,,,,,,,,,
2017,Lamborghini,Terzo Millennio,1:64,Blue,Maisto,2023,Terzo-3,$2.5,dalma,,,,,,,,,,,
1970,Lamborghini,Urraco P250,1:100,Red,Suntory Car Graphic,2020,Urr250-1,$5.0,,,,,,,,,,,,
1974,Lamborghini,Urraco P300,1:43,Orange,DeAgostini,2023,Urr300-1,$11.0,,,,,,,,,,,,
1974,Lamborghini,Urraco Rally,1:43,Orange,Leo Models,2023,UrrRally-1,$15.0,,,,,,,,,,,,
2017,Lamborghini,Urus,1:25,Gray,Maisto,2020,Urus-1,-,,,,,,,,,,,,
2017,Lamborghini,Urus,1:64,Yellow,Majorette,2022,Urus-2,$3.0,,,,,,,,,,,,
2017,Lamborghini,Urus,1:43,Blue,Bburago,2025,Urus-3,$8.0,"Sant'Agata, 299th model",,,,,,,,,,,
2018,Lamborghini,Urus ST-X,1:64,Green,Majorette,2022,UrusRTX-1,$3.0,,,,,,,,,,,,
2020,Lamborghini,Urus Concept,1:32,Yellow,Unbranded,201X,UrusConc-1,$12.0,,,,,,,,,,,,
2012,Lamborghini,Urus Concept,1:38,Red,Unbranded,201X,UrusConc-2,-,,,,,,,,,,,,
2012,Lamborghini,Urus Concept,1:38,Red,Kinsmart,2023,UrusConc-3,$7.0,Georgia,,,,,,,,,,,
2012,Lamborghini,Urus Concept,1:43,Orange,Unbranded,2020,UrusConc-4,$5.0,,,,,,,,,,,,
2022,Lamborghini ,Urus Mansory Venatus,1:24,Black,Unbranded,2024,UrusMansory-1,$16.0,,,,,,,,,,,,
2022,Lamborghini ,Urus Safety Car,1:64,White,MiniGT,2024,UrusSafe-1,$16.0,,,,,,,,,,,,
2022,Lamborghini,Urus Performante,1:40,Yellow,Kinsmart,2024,UrusPerf-1,$5.0,,,,,,,,,,,,
2022,Lamborghini,Urus S,1:40,Red,Kinsmart,2024,UrusS-1,$7.0,,,,,,,,,,,,
2024,Lamborghini,Urus SE,1:43,Orange,Looksmart,2025,UrusSE-1,$230.0,"300th model, Sant'Agata",,,,,,,,,,,
2019,Lamborghini ,Lambo V12 Vision Gran Turismo,1:22,Yellow,Unbranded,2023,LamboV12VGT-1,$20.0,,,,,,,,,,,,
2019,Lamborghini ,Lambo V12 Vision Gran Turismo,1:55,Purple,Unbranded,2025,LamboV12VGT-2,$1.5,,,,,,,,,,,,
2013,Lamborghini,Veneno LP750-4,1:32,Gray,Double Horses,201X,Ven-1,-,,,,,,,,,,,,
2013,Lamborghini,Veneno LP750-4,1:36,Black,Kinsmart,201X,Ven-2,$3.5,,,,,,,,,,,,
2013,Lamborghini,Veneno LP750-4,1:64,Gray,Unbranded,2021,Ven-3,$0.5,Dilijan,,,,,,,,,,,
2013,Lamborghini,Veneno LP750-4,1:64,Gray,Unbranded,2023,Ven-4,$2.0,Georgia,,,,,,,,,,,
2013,Lamborghini,Veneno LP750-4,1:32,Blue,Unbranded,2022,Ven-5,$1.5,,,,,,,,,,,,
2013,Lamborghini,Veneno LP750-4,1:64,Orange,Hot Wheels,2016,Ven-6,-,,,,,,,,,,,,
2013,Lamborghini,Veneno LP750-4,1:24,Blue,Unbranded,2023,Ven-7,$1.2,195th model,,,,,,,,,,,
2013,Lamborghini,Veneno LP750-4,1:20,Yellow,Unbranded,2020,Ven-8,$2.0,,,,,,,,,,,,
2013,Lamborghini,Veneno LP750-4,1:64,Blue,Unbranded,2024,Ven-9,$1.0,"key chain pen, first model of 2024",,,,,,,,,,,
2014,Lamborghini,Veneno LP750-4 Roadster,1:18,Red,Unbranded,2020,VenRoad-1,$16.0,,,,,,,,,,,,
2013,Lamborghini,Veneno LP750-4,1:38,Orange,Unbranded,2023,Ven-10,$0.5,,,,,,,,,,,,
2013,Lamborghini,Veneno LP750-4,1:38,Gray,Unbranded,2023,Ven-11,$0.5,,,,,,,,,,,,
2013,Lamborghini,Veneno LP750-4,1:38,Green,Unbranded,2023,Ven-12,$0.5,,,,,,,,,,,,
2013,Lamborghini,Veneno LP750-4,1:43,Blue,Unbranded,2025,Ven-13,$4.5,6 wheel Monster Truck,,,,,,,,,,,
2013,Lamborghini,Veneno LP750-4,1:64,White,Unbranded,2025,Ven-14,$0.7,Ambulance,,,,,,,,,,,
2013,Lamborghini,Veneno LP750-4,1:50,Green,Unbranded,2025,Ven-15,$0.5,Green 180 drams,,,,,,,,,,,
2013,Lamborghini,Veneno LP750-4,1:64,Yellow,Unbranded,2025,Ven-16,$0.7,Pack of 8 (brazil),,,,,,,,,,,
2013,Lamborghini,Veneno LP750-4,1:64,Green,Unbranded,2025,Ven-17,$0.7,Pack of 8 (Italy),,,,,,,,,,,
2013,Lamborghini,Veneno LP750-4,1:64,White,Unbranded,2025,Ven-18,$0.7,Pack of 8 (Germany),,,,,,,,,,,
2013,Lamborghini,Veneno LP750-4,1:64,White,Unbranded,2025,Ven-19,$0.7,Pack of 8 (France),,,,,,,,,,,
2013,Lamborghini,Veneno LP750-4,1:64,Blue,Unbranded,2025,Ven-20,$0.7,Pack of 8 (USA),,,,,,,,,,,
2013,Lamborghini,Veneno LP750-4,1:64,Silver,Unbranded,2025,Ven-21,$0.7,Pack of 8 (Silver),,,,,,,,,,,
2013,Lamborghini,Veneno LP750-4,1:64,Blue,Unbranded,2025,Ven-22,$0.7,Pack of 8 (police),,,,,,,,,,,
2013,Lamborghini,Veneno LP750-4,1:64,Green,Unbranded,2025,Ven-23,$0.7,Pack of 8 (military),,,,,,,,,,,
2013,Lamborghini,Veneno LP750-4,1:64,Yellow,Unbranded,2025,Ven-24,$1.5,Yellow Monster Truck,,,,,,,,,,,
2013,Lamborghini,Veneno LP750-4,1:34,Gray,Unbranded,2026,Ven-25,$4.0,Dilijan Transformer,,,,,,,,,,,
1989,Lamborghini,Lola LC89 F1,1:43,Blue,Onyx,2026,LC89-1,$20.0,,,,,,,,,,,,
1990,Lamborghini,Lola LC90 F1,1:43,Blue,Onyx,2022,LC90-1,$7.0,,,,,,,,,,,,
1991,Lamborghini,Lambo 291 F1,1:43,Blue,Ixo,2023,Lambo291-1,$30.0,,,,,,,,,,,,
1993,Lamborghini,Traction 240 Tractor,1:55,White,Siku,2025,Tractor-3,$5.0,,,,,,,,,,,,
1994,Lamborghini,Traction 265 Tractor,1:55,White,Siku,2022,Tractor-1,$15.0,,,,,,,,,,,,
1958,Lamborghini,DL30C Tractor,1:43,Yellow,Hachette,2022,Tractor-2,$15.0,,,,,,,,,,,,
2008,Lamborghini,R8.265 Tractor,1:32,Silver,Siku,2025,Tractor-4,$23.0,,,,,,,,,,,,
2018,Lamborghini,Mach 250 VRT Tractor,1:87,White,Siku/LAMBOMODELS,2026,Tractor-5,$6.0,,,,,,,,,,,,
2018,Lamborghini,Spark 165 VRT Tractor,1:87,White,Siku/LAMBOMODELS,2026,Tractor-6,$6.0,,,,,,,,,,,,
2023,Lamborghini,Deutz Fahr 6190 TTV Lamborghini Special Edition Tractor,1:87,White,Siku/LAMBOMODELS,2026,Tractor-7,$6.0,,,,,,,,,,,,
2023,Lamborghini ,Ducati Streetfighter V4 Lamborghini ,1:12,Green,Double Horses,2026,DucatiSF-1,$23.0,,,,,,,,,,,,
2016,Lamborghini,Audi R8 V10+,1:55,Blue,Majorette,2024,RelAudiR8-1,$5.0,(Related),,,,,,,,,,,
2020,Lamborghini,Audi R8 Spyder V10 performance quattro,1:64,Red,Hot Wheels,2025,RelAudiR8-2,$4.0,(Related),,,,,,,,,,,
1978,Lamborghini,BMW M1,1:64,Silver,Hot Wheels,2025,RelBMWM1-1,$4.0,(Related),,,,,,,,,,,
1979,Lamborghini,BMW M1 Procar,1:64,Blue,Unbranded,2025,RelBMWM1-2,$4.0,(Related),,,,,,,,,,,
1989,Lamborghini,MCA Centenaire,1:43,Blue,Bburago,2024,RelMCACent-1,$8.0,(Related),,,,,,,,,,,
1992,Lamborghini,Dodge Viper RT/10,1:64,Red,Hot Wheels,2024,RelDodVip-1,$5.0,(Related),,,,,,,,,,,
1996,Lamborghini,Dodge Viper GTS,1:64,Yellow,Matchbox,2025,RelDodVip-2,$4.0,(Related),,,,,,,,,,,
1998,Lamborghini,Dodge Viper GT2,1:64,White,Maisto,2025,RelDodVip-3,$4.0,(Related),,,,,,,,,,,
2000,Lamborghini,Dodge Viper GTS-R Concept,1:64,Red,Hot Wheels,2025,RelDodVip-4,$4.0,(Related),,,,,,,,,,,